State,District,Year,Season,Crop,Area,Production,SoilType,Avg Rainfall(mm),Avg Temperature
Maharashtra,AHMEDNAGAR,1997.0,Kharif,Arhar/Tur,17600.0,6300.0,Loamy,184.63,22.6
Maharashtra,AKOLA,1997.0,Kharif,Arhar/Tur,81200.0,64400.0,Loamy,184.63,22.6
Maharashtra,AMRAVATI,1997.0,Kharif,Arhar/Tur,83400.0,61300.0,Loamy,184.63,22.6
Maharashtra,AURANGABAD,1997.0,Kharif,Arhar/Tur,37100.0,3700.0,Loamy,184.63,22.6
Maharashtra,BEED,1997.0,Kharif,Arhar/Tur,44200.0,7200.0,Loamy,184.63,22.6
Maharashtra,BHANDARA,1997.0,Kharif,Arhar/Tur,10200.0,2700.0,Loamy,184.63,22.6
Maharashtra,BULDHANA,1997.0,Kharif,Arhar/Tur,63000.0,29700.0,Loamy,184.63,22.6
Maharashtra,CHANDRAPUR,1997.0,Kharif,Arhar/Tur,30300.0,9700.0,Loamy,184.63,22.6
Maharashtra,DHULE,1997.0,Kharif,Arhar/Tur,29400.0,18500.0,Loamy,184.63,22.6
Maharashtra,GADCHIROLI,1997.0,Kharif,Arhar/Tur,2100.0,600.0,Loamy,184.63,22.6
Maharashtra,JALGAON,1997.0,Kharif,Arhar/Tur,24100.0,7300.0,Loamy,184.63,22.6
Maharashtra,JALNA,1997.0,Kharif,Arhar/Tur,37700.0,5600.0,Loamy,184.63,22.6
Maharashtra,KOLHAPUR,1997.0,Kharif,Arhar/Tur,3700.0,900.0,Loamy,184.63,22.6
Maharashtra,LATUR,1997.0,Kharif,Arhar/Tur,65000.0,2800.0,Loamy,184.63,22.6
Maharashtra,NAGPUR,1997.0,Kharif,Arhar/Tur,51900.0,2500.0,Loamy,184.63,22.6
Maharashtra,NANDED,1997.0,Kharif,Arhar/Tur,46000.0,6000.0,Loamy,184.63,22.6
Maharashtra,NASHIK,1997.0,Kharif,Arhar/Tur,8800.0,4300.0,Loamy,184.63,22.6
Maharashtra,OSMANABAD,1997.0,Kharif,Arhar/Tur,69200.0,2900.0,Loamy,184.63,22.6
Maharashtra,PARBHANI,1997.0,Kharif,Arhar/Tur,80000.0,4000.0,Loamy,184.63,22.6
Maharashtra,PUNE,1997.0,Kharif,Arhar/Tur,3900.0,2900.0,Loamy,184.63,22.6
Maharashtra,RAIGAD,1997.0,Kharif,Arhar/Tur,1300.0,600.0,Loamy,184.63,22.6
Maharashtra,RATNAGIRI,1997.0,Kharif,Arhar/Tur,500.0,200.0,Loamy,184.63,22.6
Maharashtra,SANGLI,1997.0,Kharif,Arhar/Tur,13600.0,3400.0,Loamy,184.63,22.6
Maharashtra,SATARA,1997.0,Kharif,Arhar/Tur,7600.0,1900.0,Loamy,184.63,22.6
Maharashtra,SOLAPUR,1997.0,Kharif,Arhar/Tur,27000.0,2900.0,Loamy,184.63,22.6
Maharashtra,THANE,1997.0,Kharif,Arhar/Tur,2500.0,1200.0,Loamy,184.63,22.6
Maharashtra,WARDHA,1997.0,Kharif,Arhar/Tur,51100.0,16100.0,Loamy,184.63,22.6
